iter	Logloss
0	0.6694411662
1	0.6473602523
2	0.6266916331
3	0.6074987746
4	0.5895378814
5	0.574087284
6	0.558421523
7	0.5438731256
8	0.531249735
9	0.5199657332
10	0.5079670573
11	0.4980308611
12	0.4875682194
13	0.4778609348
14	0.469510119
15	0.4610048365
16	0.453102108
17	0.4465644503
18	0.4409434061
19	0.4352270653
20	0.4293681998
21	0.4239496006
22	0.4189202963
23	0.4136044325
24	0.4094373953
25	0.4054037777
26	0.400909648
27	0.3970202131
28	0.3936719619
29	0.3898589479
30	0.386236106
31	0.3831563562
32	0.3802329428
33	0.3776372443
34	0.3746550529
35	0.3723548443
36	0.3697001481
37	0.3674868624
38	0.3650726746
39	0.3628287807
40	0.3608699836
41	0.3591968666
42	0.3576316705
43	0.3561610519
44	0.3546207219
45	0.3528722606
46	0.3514536322
47	0.3502208513
48	0.3489589948
49	0.3477293932
50	0.3464575339
51	0.3451643532
52	0.3441899786
53	0.3432750712
54	0.342310836
55	0.3411048916
56	0.3401525204
57	0.339254501
58	0.3384107635
59	0.3374600411
60	0.3366656467
61	0.3356472529
62	0.334737692
63	0.3339572469
64	0.3332229874
65	0.3324091463
66	0.3315936873
67	0.3308398475
68	0.3302441375
69	0.3296266192
70	0.328919191
71	0.3283043629
72	0.3277193378
73	0.3272135563
74	0.326704876
75	0.3261730326
76	0.3257102874
77	0.3252466556
78	0.3246914395
79	0.3242306315
80	0.3236850258
81	0.3232214424
82	0.3227478499
83	0.3223039669
84	0.3218748128
85	0.3214817532
86	0.3210768963
87	0.3206694888
88	0.3202791964
89	0.3199837671
90	0.3196024873
91	0.3193781365
92	0.3190481916
93	0.3187295468
94	0.3183714907
95	0.3180476031
96	0.3177432907
97	0.317460804
98	0.3172027152
99	0.3169528798
100	0.3166524224
101	0.3164273577
102	0.316135462
103	0.3158591857
104	0.3156111674
105	0.315351128
106	0.3150983661
107	0.3148972309
108	0.3146709808
109	0.3144611237
110	0.3142825076
111	0.3140797535
112	0.3138633768
